ts	avail_mib	gtt_mib	daemon_anon_mib	daemon_file_mib	eval_rss_mib
10:19:35	40104	53667	21679	1332	113
10:19:37	40098	53667	21679	1332	113
10:19:39	40099	53667	21679	1332	113
10:19:41	40101	53667	21679	1332	113
10:19:44	40104	53667	21679	1332	113
10:19:46	40105	53667	21679	1332	113
10:19:48	40098	53667	21679	1332	113
10:19:50	40103	53667	21679	1332	113
10:19:52	40103	53667	21679	1332	113
10:19:54	40104	53667	21679	1332	113
10:19:56	40106	53667	21679	1332	113
10:19:58	40106	53667	21679	1332	113
10:20:00	39726	53667	22037	1332	113
10:20:02	39726	53667	22037	1332	113
10:20:04	39724	53667	22037	1332	113
10:20:06	39719	53667	22037	1332	113
10:20:08	39718	53667	22037	1332	113
10:20:10	39716	53667	22037	1332	113
10:20:12	39719	53667	22037	1332	113
10:20:14	39717	53667	22037	1332	113
10:20:16	39721	53667	22037	1332	113
10:20:18	39726	53667	22037	1332	113
10:20:20	39737	53667	22037	1332	113
10:20:22	39742	53667	22037	1332	113
10:20:25	39745	53667	22037	1332	113
10:20:27	39748	53667	22037	1332	113
10:20:29	39746	53667	22037	1332	113
10:20:31	39747	53667	22037	1332	113
10:20:33	39745	53667	22037	1332	113
10:20:35	39751	53667	22037	1332	113
10:20:37	39752	53667	22037	1332	113
10:20:39	39754	53667	22037	1332	113
10:20:41	39753	53667	22037	1332	113
10:20:43	39754	53667	22037	1332	113
10:20:45	39750	53667	22037	1332	113
10:20:47	39747	53667	22037	1332	113
10:20:49	39746	53667	22037	1332	113
10:20:51	39747	53667	22037	1332	113
10:20:53	39748	53667	22037	1332	113
10:20:55	39748	53667	22037	1332	113
10:20:57	39747	53667	22037	1332	113
10:20:59	39748	53667	22037	1332	113
10:21:02	39746	53667	22037	1332	113
10:21:04	39749	53667	22037	1332	113
10:21:06	39750	53667	22037	1332	113
10:21:08	39749	53667	22037	1332	113
10:21:10	39747	53667	22037	1332	113
10:21:12	39748	53667	22037	1332	113
10:21:14	39749	53667	22037	1332	113
10:21:16	39750	53667	22037	1332	113
10:21:18	39750	53667	22037	1332	113
10:21:20	39752	53667	22037	1332	113
10:21:22	39754	53667	22037	1332	113
10:21:24	39753	53667	22037	1332	113
10:21:26	39754	53667	22037	1332	113
10:21:28	39752	53667	22037	1332	113
10:21:30	39753	53667	22037	1332	113
10:21:32	39752	53667	22037	1332	113
10:21:34	39751	53667	22037	1332	113
10:21:37	39752	53667	22037	1332	113
10:21:39	39749	53667	22037	1332	113
10:21:41	39746	53667	22037	1332	113
10:21:43	39748	53667	22037	1332	113
10:21:45	39746	53667	22037	1332	113
10:21:47	39749	53667	22037	1332	113
10:21:49	39744	53667	22037	1332	113
10:21:51	39739	53667	22037	1332	113
10:21:53	39741	53667	22037	1332	113
10:21:55	39743	53667	22037	1332	113
10:21:57	39745	53667	22037	1332	113
10:21:59	39744	53667	22037	1332	113
10:22:01	39745	53667	22037	1332	113
10:22:03	39743	53667	22037	1332	113
10:22:05	39746	53667	22037	1332	113
10:22:07	39741	53667	22037	1332	113
10:22:09	39744	53667	22037	1332	113
10:22:12	39744	53667	22037	1332	113
10:22:14	39969	53667	21812	1332	113
10:22:16	39970	53667	21812	1332	113
10:22:18	39973	53667	21812	1332	113
10:22:20	39974	53667	21812	1332	113
10:22:22	39974	53667	21812	1332	113
10:22:24	39975	53667	21812	1332	113
10:22:26	39975	53667	21812	1332	113
10:22:28	39847	53667	21944	1332	113
10:22:30	39847	53667	21944	1332	113
10:22:32	39842	53667	21944	1332	113
10:22:34	39842	53667	21944	1332	113
10:22:36	39845	53667	21944	1332	113
10:22:38	39841	53667	21944	1332	113
10:22:40	39839	53667	21944	1332	113
10:22:42	39917	53667	21871	1332	113
10:22:44	39919	53667	21871	1332	113
10:22:46	39919	53667	21871	1332	113
10:22:48	39918	53667	21871	1332	113
10:22:50	39919	53667	21871	1332	113
10:22:52	39920	53667	21871	1332	113
10:22:54	39920	53667	21871	1332	113
10:22:56	39919	53667	21871	1332	113
10:22:59	39919	53667	21871	1332	113
10:23:01	39919	53667	21871	1332	113
10:23:03	39918	53667	21871	1332	113
10:23:05	39916	53667	21871	1332	113
10:23:07	39918	53667	21871	1332	113
10:23:09	39916	53667	21871	1332	113
10:23:11	39916	53667	21871	1332	113
10:23:13	39552	53663	21871	1332	113
10:23:15	39546	53667	21883	1332	113
10:23:17	39574	53667	21876	1332	113
10:23:19	39584	53667	21876	1332	113
10:23:22	39600	53667	21876	1332	113
10:23:24	39607	53667	21876	1332	113
10:23:26	39610	53667	21876	1332	113
10:23:28	39638	53667	21876	1332	113
10:23:30	39646	53667	21876	1332	113
10:23:32	39661	53667	21876	1332	113
10:23:34	39673	53667	21876	1332	113
10:23:36	39684	53667	21876	1332	113
10:23:38	39700	53667	21876	1332	113
10:23:40	39717	53667	21876	1332	113
10:23:42	39732	53667	21876	1332	113
10:23:44	39740	53667	21876	1332	113
10:23:46	39756	53667	21876	1332	113
10:23:48	39770	53667	21876	1332	113
10:23:50	39777	53667	21876	1332	113
10:23:52	39792	53667	21876	1332	113
10:23:54	39810	53667	21876	1332	113
10:23:56	39824	53667	21876	1332	113
10:23:58	39831	53667	21876	1332	113
10:24:00	39790	53667	21876	1332	113
10:24:02	39796	53667	21876	1332	113
10:24:04	39813	53667	21876	1332	113
10:24:06	39819	53667	21876	1332	113
10:24:08	39827	53667	21876	1332	113
10:24:11	39842	53667	21876	1332	113
10:24:13	39867	53667	21876	1332	113
10:24:15	39883	53667	21876	1332	113
10:24:17	39895	53667	21876	1332	113
10:24:19	39903	53667	21876	1332	113
10:24:21	39907	53667	21876	1332	113
10:24:23	39912	53667	21876	1332	113
10:24:25	39917	53667	21876	1332	113
10:24:27	39920	53667	21876	1332	113
10:24:29	39922	53667	21876	1332	113
10:24:31	39924	53667	21876	1332	113
10:24:33	39970	53667	21876	1332	113
10:24:35	39971	53667	21876	1332	113
10:24:37	39973	53667	21876	1332	113
10:24:39	39972	53667	21876	1332	113
10:24:41	39972	53667	21876	1332	113
10:24:43	39971	53667	21876	1332	113
10:24:45	39968	53667	21876	1332	113
10:24:47	39962	53667	21876	1332	113
10:24:49	39961	53667	21876	1332	113
10:24:51	39961	53667	21876	1332	113
10:24:53	39961	53667	21876	1332	113
10:24:55	39960	53667	21876	1332	113
10:24:58	39965	53667	21876	1332	113
10:25:00	39961	53667	21876	1332	113
10:25:02	39961	53667	21876	1332	113
10:25:04	39967	53667	21876	1332	113
10:25:06	39969	53667	21876	1332	113
10:25:08	39970	53667	21876	1332	113
10:25:10	39968	53667	21876	1332	113
10:25:12	39971	53667	21876	1332	113
10:25:14	39972	53667	21876	1332	113
10:25:16	39972	53667	21876	1332	113
10:25:18	39968	53667	21876	1332	113
10:25:20	39884	53667	21951	1332	113
10:25:22	39938	53667	21897	1334	113
10:25:24	39929	53667	21899	1334	113
10:25:26	39918	53667	21899	1334	113
10:25:28	39908	53667	21922	1334	113
10:25:30	39934	53667	21901	1334	113
10:25:32	39915	53667	21907	1334	113
10:25:34	39919	53667	21907	1334	113
10:25:36	39921	53667	21907	1334	113
10:25:38	39926	53667	21907	1334	113
10:25:40	39916	53667	21907	1334	113
10:25:42	39912	53667	21928	1334	113
10:25:44	39891	53667	21928	1334	113
10:25:46	39899	53667	21909	1334	113
10:25:48	39878	53667	21923	1334	113
10:25:50	39818	53667	21947	1334	113
