tp	kind	old_status	call	call_arity	old_arity	new_arity	test_path	cfg_test	same_crate	symbol	file	line	commit
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1166	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1044	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	False	cross_crate_reached	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	26	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	cross_crate_reached	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	543	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1073	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1175	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1188	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1191	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	3	None	3	False	False	False	cross_crate_reached	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	278	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	991	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	False	cross_crate_reached	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	17	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	3	None	3	False	True	True	cross_crate_reached	corpus-engine-scip/src/converge.rs	1100	27c0fe0313913b01480c572af649a3ac1c9a248f
False	arity_changed	same_path	False	None	1	3	False	False	True	duplicate_count	corpus-engine-scip/src/lib.rs	74	27c0fe0313913b01480c572af649a3ac1c9a248f
False	arity_changed	same_path	True	3	1	3	False	True	True	duplicate_count	corpus-engine-scip/src/converge.rs	998	27c0fe0313913b01480c572af649a3ac1c9a248f
True	arity_changed	same_path	True	3	1	3	False	False	False	duplicate_count	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	664	27c0fe0313913b01480c572af649a3ac1c9a248f
False	arity_changed	same_path	True	3	1	3	False	True	True	duplicate_count	corpus-engine-scip/src/converge.rs	1101	27c0fe0313913b01480c572af649a3ac1c9a248f
False	arity_changed	same_path	True	3	1	3	False	True	True	duplicate_count	corpus-engine-scip/src/converge.rs	1049	27c0fe0313913b01480c572af649a3ac1c9a248f
False	arity_changed	same_path	False	None	1	3	False	False	False	duplicate_count	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	17	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	field_owner_and_name	corpus-engine-scip/src/roles.rs	285	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	True	field_owner_and_name	corpus-engine-scip/src/shape.rs	279	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	1	None	1	False	True	True	field_owner_and_name	corpus-engine-scip/src/descriptor.rs	358	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	1	False	False	True	field_owner_and_name	corpus-engine-scip/src/shape.rs	108	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	1	None	1	False	True	True	field_owner_and_name	corpus-engine-scip/src/descriptor.rs	377	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	1	False	False	True	field_owner_and_name	corpus-engine-scip/src/roles.rs	83	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	1	False	False	True	field_owner_and_name	corpus-engine-scip/src/lib.rs	78	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	1	None	1	False	True	True	field_owner_and_name	corpus-engine-scip/src/descriptor.rs	351	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	False	type_fields	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	20	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	2	None	2	False	True	True	type_fields	corpus-engine-scip/src/roles.rs	695	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	2	None	2	False	False	False	type_fields	sovereign/crates/sovereign-cli-dev/src/converge_cmd.rs	312	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	2	False	False	True	type_fields	corpus-engine-scip/src/lib.rs	83	27c0fe0313913b01480c572af649a3ac1c9a248f
